SNMM Morada Nova de Minas, MG, BR
SNMO Morada Nova, CE, BR
SIQJ Morro do Chapeu Ii, BR
SWMV Mucajaí [Paa-Piu], RR, BR
SSNQ Nioaque, MS, BR
SDOU OUS Ourinhos, SP, BR
SSPI PVI Paranavai, PR, BR
SSFA Pinhao [Foz do Areia], BR
SNPG Porto Grande, AP, BR
SNRD PDF Prado, BA, BR
SFV Santa Fé do Sul, SP, BR
SNSH Santarém (São Jose), PA, BR
SWZI Santo Antonio Ica/S Luzia, BR
SWYQ Sinop [Fazenda Nova Fronteira], BR
SWAO São Gabriel da Cachoeira [Anamoim], AM, BR
SWMK São Gabriel da Cachoeira [Maturaca], AM, BR
SWQE São Gabriel da Cachoeira [Querari], AM, BR
SWTR São Gabriel da Cachoeira [Taraquá], AM, BR
SBFU São José da Barra [Furnas], BR
SDNO São Manuel, SP, BR
SSEP São Sepe, RS, BR
SWTS Tangara da Serra, BR
SWTI Vila Bela da S S Trindade [São Vicente], BR
SNVL Virgem da Lapa, MG, BR
SDVG VOT Votuporanga, SP, BR
SNUC Açu, RN, BR
SSKN Campo Novo, RS, BR
SIBU Catolé do Rocha, PB, BR
SBCD Caçador, SC, BR
SWCG Caçu [Fazenda Varjao Grande], BR
SWPL Chapada dos Guimarães [Posto Leonardo Vilas Boas], MT, BR
SNXH Codó [Itapicuru], MA, BR
SNCX QCH Colatina, ES, BR
SNWS Crateús, CE, BR
SWZJ Crixas/F S João, BR
SSKQ Fazenda Vista Alegre Ii, BR
SDMY Matao [Fazenda do Cambuhy], BR
SDME Matao [Marchesan S A], BR
SNXX Maxaranguape, RN, BR
SNMM Morada Nova de Minas, MG, BR
SIQJ Morro do Chapeu Ii, BR
SSNH Novo Hamburgo, RS, BR
SWPM PBQ Pimenta Bueno, RO, BR
SSNJ Salto do Jacuí [Nova Jacuí], RS, BR
SNQD Souza (Sousa), PB, BR
SSSB São Borja, RS, BR
SNLO SSO São Lourenço, MG, BR
SNTF Teixeira de Freitas, BA, BR
SNVR Veracruz [Bahia Aeroclube], BR
SBTS Óbidos [Tirios], PA, BR
SNAE Arcoverde, PE, BR
SWNI Ariquemes [Nova Vida], RO, BR
SSKS Cachoeira do Sul, RS, BR
SSCL CSS Cassilândia, MS, BR
SNKF QDF Conselheiro Lafaiete, MG, BR
SWCQ CQS Costa Marques, RO, BR
SNCQ Euclides da Cunha [Cocorobó], BA, BR
SNEU Euclides da Cunha, BA, BR
SWNV Goiánia [Aeródromo Nacional de Aviação], GO, BR
SNGD GDP Guadalupe, PI, BR
SSGY QGA Guaira, PR, BR
SNGM GMS Guimaraes, MA, BR
SNBV Ipixuna [Campo de Boi], BR
SNBD Juazeiro [Sobradinho], BR
SNGS Maceió [Aeroclube], AL, BR
SNPC PCS Picos, PI, BR
SSPM Porto Murtinho, MS, BR
SSSQ São Joaquim, SC, BR
SWID São Miguel do Araguaia [Fazenda Indiara], BR
SNSN São Raimundo Nonato, PI, BR
SSVR QVR Volta Redonda, RJ, BR
SDLI Abaré [Jeová Gomes Correa], BA, BR
SNCW Alcântara [Centro de Lançamento de Alcântara], MA, BR
SSLT Alegrete Novo, RS, BR
SSGC Aquidauna (Aquidauana) [General Canrobert Pereira da Costa], MS, BR
SSAE Arroio Grande, RS, BR
SSWS Caçapava do Sul, RS, BR
SNIO Cipó, BA, BR
SNKC Cocos, BA, BR
SNKD Conceição do Mato Dentro, MG, BR
SNKN Currais Novos, RN, BR
SWKC CCX Cáceres, MT, BR
SNQG FLB Floriano [Cangapara], PI, BR
SNGN Garanhuns, PE, BR
SNGT Gentio de Ouro, BA, BR
SNZW ITE Ituberá, BA, BR
SNJB JCM Jacobina, BA, BR
SNMI Jaguarari [Mina Caraiba], BA, BR
SNJA Jardim de Angicos, RN, BR
SNJO João Pessoa [Aeroclube], PB, BR
SDYM QGB Limeira, SP, BR
SSQZ Mimoso do Oeste [Luis Eduardo Magalhaes], BA, BR
SJCA Mococa [Comandante Vittorio Bonami], SP, BR
SNMB Mombaça, CE, BR
SNOC Morro do Chapeu, BA, BR
SWNQ NQL Niquelândia, GO, BR
SWNP Novo Paraiso, BR
SWRO Porto Velho [Aeroclube de Rondônia], RO, BR
SNQX Quixadá, CE, BR
SNHS Serra Talhada [Santa Magalhaes], PE, BR
SSSG São Gabriel, RS, BR
SSMY São Miguel do Iguaçu, PR, BR
SDOB Tapiratiba [Fazenda São José Ob], BR
SNFI Tupaciguara [Fazenda São José do Parnaiba], BR
SSUV QVB União da Vitória [José Cleto], PR, BR
SBUP URB Urubupunga [Ernesto Pochler], SP, BR
SDXF Alto Paraiso, GO, BR
SDDN Andradina, SP, BR
SNBI Bacabal, MA, BR
SNBJ Belo Jardim, PE, BR
SSBJ Bom Jesus, RS, BR
SDBK Botucatu, SP, BR
SDBP Braganca Paulista [Aeroporto Estadual Arthur Siqueira], SP, BR
SNRJ Brejo, MA, BR
SWBA Buriti Alegre, GO, BR
SWCB Campos Belos, GO, BR
SNKL Colinas, MA, BR
SSCI Coxim, MS, BR
SIXP Diamantino [Fazenda Paiaguas], BR
SSDC Dionisio Cerqueira, SC, BR
SWFJ Feijó (Fortaleza), AC, BR
SDKJ Formosa do Rio Preto, BA, BR
SSFE Foz do Iguaçu [Estancia Hercules], PR, BR
SBGM GJM Guajara-Mirim, RO, BR
SNIC IRE Irece, BA, BR
SJIT Itau de Minas, BR
SNJS Jardim do Seridó, RN, BR
SWJW Jataí, GO, BR
SSJK Julio de Castilos, RS, BR
SNLB Livramento do Brumado, BA, BR
SNMJ Maracás, BA, BR
SNDS Maraial [São Luiz], PE, BR
NTM Miracema do Norte, TO, BR
SNMS Monte Santo de Minas, MG, BR
SWNO Nova Olinda do Norte, AM, BR
SSNP Nova Prata, RS, BR
SDNH Novo Horizonte, SP, BR
SWTO Paraíso do Tocantins, TO, BR
SNPA Pará de Minas, MG, BR
SDJQ Pereira Barreto [Fazenda São Joaquim Ob], BR
SNPQ Pesqueira, PE, BR
SDPW Piracicaba, SP, BR
SIFV Primo Bitti, BR
SNRM Remanso, BA, BR
SSRZ Rosario do Sul, RS, BR
SNVD Santa Maria da Vitória, BA, BR
SSST Santiago, RS, BR
SNTL Tamboril, CE, BR
SSTL Três Lagoas, MS, BR
SWVB Vila Bela [Vila Bela da Santissima Trindade], MT, BR
SNVZ Várzea da Palma, MG, BR
